ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Glottolog_Name
JE43_Kuria_Mago,JE43_Kuria_Mago,,-1.50636,34.5049,kuri1259,,Kuria
JE43_Kuria_Tari,JE43_Kuria_Tari,,-1.50636,34.5049,kuri1259,,Kuria
JE44_Zanaki,JE44_Zanaki,,-2.26367,34.0542,zana1238,,Zanaki
JE45_Nata,JE45_Nata,,-1.94989,34.5361,ikom1245,,Ikoma-Nata
K11_Ciokwe,K11_Ciokwe,,-9.66082,21.3992,chok1245,,Chokwe
K14_Lwena,K14_Lwena,,-13.5382,22.2924,luva1239,,Luvale
K15_Mbunda,K15_Mbunda,,-14.603,21.9768,mbun1249,,Mbunda
K21_Lozi,K21_Lozi,,-17.7052,24.7398,lozi1239,,Lozi
K31_Luyana,K31_Luyana,,-15.01,22.67,luya1241,,Luyi
K33_Kwangali,K33_Kwangali,,-17.9026,19.256,kwan1273,,Kwangali
K332_Rumanyo,K332_Rumanyo,,-18.1681,20.6678,diri1252,,Diriku-Shambyu
Kom_Grassfields,Kom_Grassfields,,6.2596,10.3348,komc1235,,Kom (Cameroon)
Kulung_Jarawan,Kulung_Jarawan,,9.20815,11.04651,kulu1255,,Kulung (Nigeria)
L11_Pende,L11_Pende,,-5.64735,19.8275,phen1239,,Phende
L12b_Holu,L12b_Holu,,-8.14754,17.572,holu1245,,Holu
L13_Kwese,L13_Kwese,,-5.60445,18.5759,kwes1244,,Kwese
L221_Lwalwa,L221_Lwalwa,,-7.16388,22.1097,lwal1238,,Lwalu
L23_Songe,L23_Songe,,-5.71993,25.2765,song1303,,Songe
L31a_Luba-Kasai,L31a_Luba-Kasai,,-8.2816,25.8918,luba1250,,Luba-Katanga
L32_Kanyok,L32_Kanyok,,-7.31878,23.613,kany1247,,Kanyok
L33_Luba-Shaba,L33_Luba-Shaba,,-8.2816,25.8918,luba1250,,Luba-Katanga
L34_Hemba,L34_Hemba,,-12.4129,25.7646,kaon1241,,Kaonde
L35_Sanga,L35_Sanga,,-10.0236,26.8462,sang1331,,Sanga (Democratic Republic of Congo)
L41_Kaonde,L41_Kaonde,,-12.4129,25.7646,kaon1241,,Kaonde
L51_Salampasu,L51_Salampasu,,-5.44937,23.1502,sala1268,,Salampasu
L52_Lunda,L52_Lunda,,-11.1793,23.8662,lund1266,,Lunda
L53_Runda,L53_Runda,,-8.86971,21.4164,ruun1238,,Ruund
L62_Nkoya,L62_Nkoya,,-14.8513,24.7649,nkoy1244,,Nkoya
M11_Pimbwe,M11_Pimbwe,,-6.81358,31.4289,pimb1238,,Pimbwe
M12_Lungwa,M12_Lungwa,,-7.24959,31.7614,rung1255,,Rungwa
M13_Fipa,M13_Fipa,,-7.88963,31.3442,fipa1238,,Fipa
M14_Rungu,M14_Rungu,,-8.86817,31.2269,mamb1296,,Mambwe-Lungu
M15_Mambwe,M15_Mambwe,,-8.86817,31.2269,mamb1296,,Mambwe-Lungu
M21_Ndali,M21_Ndali,,-9.88948,33.6118,ndal1241,,Ndali
M21_Wanda,M21_Wanda,,-8.34522,32.4375,wand1264,,Wanda
M22_Namwanga,M22_Namwanga,,-9.4472,32.9057,nyih1240,,Nyiha (Tanzania)
M23_Nyiha,M23_Nyiha,,-9.4472,32.9057,nyih1240,,Nyiha (Tanzania)
M24_Malila,M24_Malila,,-9.16619,33.339,mali1279,,Malila
M25_Safwa,M25_Safwa,,-8.54936,33.4766,safw1238,,Safwa
M28_Lambya,M28_Lambya,,-9.49372,33.15852,lamb1272,,Lambya
M31_Nyakyusa,M31_Nyakyusa,,-9.71018,33.7763,nyak1260,,Nyakyusa-Ngonde
M41_Taabwa,M41_Taabwa,,,,shil1264,,Shila
M42_Bemba,M42_Bemba,,-10.6122,29.2993,bemb1257,,Bemba (Zambia)
M52_Lala,M52_Lala,,-12.945,30.2297,lala1264,,Lala-Bisa
M54_Lamba,M54_Lamba,,-12.3366,27.9026,lamb1271,,Lamba
M61_Lenje,M61_Lenje,,-14.7192,28.2581,lenj1248,,Lenje
M62_Soli,M62_Soli,,-15.5213,28.7934,soli1239,,Soli
M64_Tonga,M64_Tonga,,-12.0816,34.0613,tong1321,,Tonga (Nyasa)
Mbula_Jarawan,Mbula_Jarawan,,9.60769,12.2439,mbul1260,,Mbula-Bwazza
Moghamo_Grassfields,Moghamo_Grassfields,,5.88942,9.87416,meta1238,,Meta'
Mungaka_Grassfields,Mungaka_Grassfields,,5.89752,10.0294,mung1266,,Mungaka
N11_Manda,N11_Manda,,-10.3991,34.7424,mand1423,,Manda-Matumba
N12_Ngoni,N12_Ngoni,,-11.7794,37.4118,ngon1269,,Tanzania-Mozambique Ngoni
N13_Matengo,N13_Matengo,,-11.554,35.0056,mate1258,,Matengo
N14_Mpoto,N14_Mpoto,,-11.13767,34.71269,mpot1240,,Mpoto
N21_Tumbuka_Malawi,N21_Tumbuka_Malawi,,-11.3297,33.3738,tumb1250,,Tumbuka
N31_Chewa,N31_Chewa,,-14.8047,32.8108,nyan1308,,Nyanja
N42_Kunda,N42_Kunda,,-15.7337,30.2804,kund1255,,Chikunda
Njen_Grassfields,Njen_Grassfields,,5.75169,9.90439,njen1238,,Njen
Oku_Grassfields,Oku_Grassfields,,6.23712,10.5096,okuu1243,,Oku
P11_Ndengeleko,P11_Ndengeleko,,-7.54628,38.958,nden1248,,Ndengereko
P12_Rufiji,P12_Rufiji,,-7.99059,38.7133,rufi1234,,Rufiji
P13_Matumbi,P13_Matumbi,,-8.53734,39.0409,matu1259,,Matumbi
P14_Ngindo,P14_Ngindo,,-9.78145,37.9832,ngin1244,,Ngindo
P15_Mbunga,P15_Mbunga,,-8.19661,36.5362,mbun1248,,Mbunga
